"dzien","Ilosc zwierzakow","Ilosc roslinek","Srednia energia","Sredni czas zycia","Ilosc wolnych pol","Najpopularniejszy gen"
"0","50","993","41","0.0","2443","3734013326"
"1","50","993","49","0.5","2438","3734013326"
"2","51","1008","51","1.0","2424","4370241676"
"3","52","1020","54","1.4975124378109455","2412","4370241676"
"4","52","1035","58","1.9920948616600793","2399","4370241676"
"5","52","1053","60","2.488524590163935","2378","4370241676"
"6","52","1065","64","2.9859943977591037","2365","4370241676"
"7","52","1086","66","3.4841075794621026","2344","4370241676"
"8","53","1106","66","3.982646420824295","2325","4370241676"
"9","53","1126","68","4.4747081712062275","2304","4370241676"
"10","53","1140","72","4.968253968253971","2288","4370241676"
"11","53","1154","75","5.462903225806454","2274","4370241676"
"12","54","1173","76","5.958395245170878","2256","4370241676"
"13","56","1194","75","6.447042640990374","2236","4370241676"
"14","57","1215","75","6.922094508301408","2212","4370241676"
"15","58","1236","75","7.392857142857145","2191","4370241676"
"16","59","1257","75","7.859688195991093","2168","4370241676"
"17","60","1266","78","8.322884012539193","2157","4370241676"
"18","61","1281","79","8.782694198623409","2142","4370241676"
"19","61","1285","85","9.23933209647496","2137","4370241676"
"20","61","1301","87","9.700614574187894","2122","4370241676"
"21","61","1309","91","10.16583333333334","2112","4370241676"
"22","61","1329","93","10.634417129262504","2091","4370241676"
"23","63","1343","93","11.105900151285937","2080","4370241676"
"24","67","1358","89","11.564620938628174","2064","4370241676"
"25","68","1373","90","11.996556473829221","2042","4370241676"
"26","70","1391","89","12.426973684210546","2028","4370241676"
"27","73","1409","87","12.848427672955992","2007","4370241676"
"28","73","1421","90","13.254359591100439","1990","4370241676"
"29","73","1438","92","13.668202764976975","1970","4370241676"
"30","76","1449","91","14.088999447208419","1963","4370241676"
"31","79","1463","89","14.494429708222826","1946","4370241676"
"32","81","1474","90","14.885947046843192","1930","4370241676"
"33","81","1487","92","15.271882640586812","1914","4370241676"
"34","82","1502","92","15.666509877704623","1902","4370241676"
"35","85","1513","91","16.06204710144929","1891","4370241676"
"36","88","1527","90","16.444832097688636","1876","4370241676"
"37","91","1540","89","16.816043679126427","1858","4370241676"
"38","93","1551","89","17.176779935275086","1844","4370241676"
"39","95","1557","90","17.53450292397662","1836","4370241676"
"40","99","1575","87","17.889473684210518","1818","4370241676"
