"dzien","Ilosc zwierzakow","Ilosc roslinek","Srednia energia","Sredni czas zycia","Ilosc wolnych pol","Najpopularniejszy gen"
"303","314","116","52","33.288012031301996","1060","077171325773147"
"304","312","113","52","33.331065874320686","1065","077171325773147"
"305","310","109","53","33.37616980706058","1066","077171325773147"
"306","308","112","53","33.42410436427952","1069","077171325773147"
"307","302","110","54","33.468585546634124","1066","077171325773147"
"308","298","101","54","33.51921426294278","1083","077171325773147"
"309","305","97","53","33.56708460133951","1079","077171325773147"
"310","307","95","53","33.612928951184706","1084","077171325773147"
"311","314","101","51","33.659414205868096","1078","077171325773147"
"312","315","97","51","33.699221447108926","1073","077171325773147"
"313","315","101","50","33.739058512147224","1079","077171325773147"
"314","322","98","49","33.77748586709252","1072","077171325773147"
"315","317","98","49","33.812562568389204","1064","077171325773147"
"316","320","98","49","33.84726138202039","1064","077171325773147"
"317","313","105","49","33.88508832301034","1057","077171325773147"
"318","312","105","49","33.92863813406868","1071","077171325773147"
"319","312","106","49","33.976569037657235","1069","077171325773147"
"320","309","105","49","34.02690502391837","1062","077171325773147"
"321","305","107","49","34.07935587474374","1068","077171325773147"
"322","306","104","49","34.134002348198045","1073","077171325773147"
"323","303","110","49","34.18894536493072","1058","077171325773147"
"324","293","113","50","34.24874316939908","1068","077171325773147"
"325","296","114","49","34.30821188888666","1071","077171325773147"
"326","292","112","50","34.36688318694853","1066","077171325773147"
"327","281","112","52","34.426304389783745","1070","077171325773147"
"328","284","102","51","34.49138813096871","1092","077171325773147"
"329","279","96","52","34.553161284854745","1089","077171325773147"
"330","278","102","52","34.61813586097956","1091","077171325773147"
"331","274","103","53","34.686386195631705","1101","077171325773147"
"332","265","112","54","34.75203531346954","1084","077171325773147"
"333","268","117","53","34.82021866975897","1084","077171325773147"
"334","261","124","54","34.88710873146616","1090","077171325773147"
"335","255","128","55","34.95512177136884","1081","077171325773147"
"336","257","131","54","35.025674464096525","1070","077171325773147"
"337","256","129","54","35.09705470982912","1072","077171325773147"
"338","254","129","54","35.1686261065962","1086","077171325773147"
"339","248","123","56","35.2404550287904","1088","077171325773147"
"340","247","123","56","35.312750793555765","1097","077171325773147"
"341","243","123","57","35.38616949421918","1097","077171325773147"
"342","244","123","57","35.462130048832734","1099","077171325773147"
"343","238","118","58","35.537727496311064","1103","077171325773147"
"344","241","119","57","35.617139611852224","1100","077171325773147"
"345","241","124","57","35.69735303290211","1098","077171325773147"
"346","240","122","57","35.77538073528004","1099","077171325773147"
"347","250","125","55","35.85308487013632","1101","077171325773147"
"348","251","121","55","35.92720284423973","1098","077171325773147"
"349","255","125","54","36.00061201851385","1089","077171325773147"
"350","251","126","54","36.07152509468827","1083","077171325773147"
"351","249","122","55","36.14574177905776","1096","077171325773147"
"352","258","116","53","36.22220546369824","1100","077171325773147"
"353","261","115","52","36.29666597872414","1090","077171325773147"
