"dzien","Ilosc zwierzakow","Ilosc roslinek","Srednia energia","Sredni czas zycia","Ilosc wolnych pol","Najpopularniejszy gen"
"0","15","78","30","0.0","271","410467347716535"
"1","15","85","33","0.5","263","410467347716535"
"2","15","95","35","1.0","253","410467347716535"
"3","15","107","35","1.5","241","410467347716535"
"4","16","119","33","2.0","233","152375317557357"
"5","16","124","36","2.483516483516483","227","152375317557357"
"6","16","125","39","2.9719626168224296","226","152375317557357"
"7","16","128","41","3.463414634146341","223","152375317557357"
"8","16","129","43","3.9568345323741","221","152375317557357"
"9","16","129","47","4.451612903225804","223","152375317557357"
"10","17","128","46","4.947368421052627","224","166606736011421"
"11","18","129","47","5.420212765957443","224","166606736011421"
"12","19","134","47","5.8737864077669855","217","166606736011421"
"13","20","136","46","6.311111111111107","215","166606736011421"
"14","21","136","46","6.734693877551017","213","166606736011421"
"15","22","139","46","7.146616541353379","209","166606736011421"
"16","22","139","48","7.548611111111108","207","166606736011421"
"17","22","141","50","7.964516129032257","204","166606736011421"
"18","22","142","51","8.391566265060243","201","166606736011421"
"19","23","145","50","8.827683615819215","199","166606736011421"
"20","23","141","52","9.24933687002653","202","166606736011421"
"21","24","141","51","9.630000000000004","203","166606736011421"
"22","26","142","47","10.002358490566044","201","037340127320766"
"23","26","139","49","10.346666666666673","201","037340127320766"
"24","27","138","48","10.707983193277316","202","037340127320766"
"25","26","139","51","11.063618290258455","199","166606736011421"
"26","26","138","52","11.434782608695656","201","166606736011421"
"27","26","137","53","11.818018018018016","202","166606736011421"
"28","26","139","53","12.211703958691912","202","166606736011421"
"29","25","138","57","12.614497528830318","202","166606736011421"
"30","25","136","57","13.01898734177216","204","166606736011421"
"31","25","138","57","13.430745814307466","202","166606736011421"
"32","25","140","58","13.84897360703813","201","166606736011421"
"33","25","137","58","14.272984441301281","200","166606736011421"
"34","25","139","59","14.702185792349734","199","166606736011421"
"35","25","139","60","15.136063408190232","198","166606736011421"
"36","24","140","62","15.574168797953972","201","166606736011421"
"37","25","144","59","15.990074441687351","196","166606736011421"
"38","25","145","61","16.392298435619736","198","166606736011421"
"39","24","144","65","16.755841121495333","197","166606736011421"
"40","24","143","66","17.12500000000001","198","166606736011421"
"41","25","141","64","17.501106194690276","200","166606736011421"
"42","23","141","71","17.865446716899907","203","166606736011421"
